ID,Codice Sito,Nome,Gestore,Indirizzo,Longitudine,Latitudine,Quota al suolo,Postazione,Altezza antenna da suolo
303,BL065,Cima Banche,WIND,SS51 Alemagna c/o Rifugio Ospitale  CORTINA D'AMPEZZO (BL),12.143032628620151,46.60423751078096,1485,Su edificio,15.55,
304,BL067,Nevegal,WIND,Via Nevegal  BELLUNO (BL),12.275361674383365,46.1012380440652,1011,Altro,26.3,
313,BL103,PASSO FEDAIA,WIND,Stazione partenza teleferica Banc Serrauta  ROCCA PIETORE (BL),11.898884279584,46.43587277549027,2314.5,Su edificio,9.7,
330,BL2057_B,Via Mezzaterra,H3G,Via Mezzaterra  BELLUNO (BL),12.219919763107095,46.13855690289752,380,Su edificio,23.35,
335,BL2225_A,Via Vittorio Veneto,H3G,Via Vittorio Veneto  BELLUNO (BL),12.232497063854865,46.15433072757556,380,Su edificio,19.45,
340,BL2274B,PIEVE DI CADORE,H3G,PIAZZA MINICIPIO 18  PIEVE DI CADORE (BL),12.375261354169465,46.43063054355735,882,Su edificio,21.2,
348,BL2298,Stadio,H3G,Via dello Stadio  CORTINA D'AMPEZZO (BL),12.134472158849,46.54551254816871,1210,Su edificio,24.15,
352,BL-2302A,Rivalgo,VODAFONE,localita` Cioppa Grande  via di Sopra  OSPITALE DI CADORE (BL),12.329879080160524,46.33505457476716,608.5,Al Suolo,9,
365,BL-2315A_var,Rifugio Padon,VODAFONE,Localita` Padon  c/o stazione seggiovia  ROCCA PIETORE (BL),11.893154334219034,46.46507066352734,2402,Su edificio,8,
391,BL-2561A,Passo Falzarego,VODAFONE,Stazione partenza funivia Lagazuoi  CORTINA D'AMPEZZO (BL),12.00913243754722,46.52035143967375,2107,Su edificio,10,
397,BL27,COL DE VARDA,TELECOM,VIA COL DE VARDA  - 32040 AURONZO DI CADORE (BL)  AURONZO DI CADORE (BL),12.26810824429696,46.572126237076525,2115,Al Suolo,9,
403,BL-2776A,Punta Rocca,VODAFONE,Stazione di arrivo funivia Marmolada di Rocca  ROCCA PIETORE (BL),11.85591631089042,46.43571282489225,3264,Al Suolo,9.6,
425,BL3659A,PIANAZ,H3G,localit� PALMA  ZOLDO ALTO (BL),12.11505652864005,46.3848395119138,1324,Altro,23.35,
427,BL3719B,PONTE NELLE ALPI,H3G,viale CADORE 67  PONTE NELLE ALPI (BL),12.290408111851015,46.187608116045084,402,Altro,28.15,
448,BL-4309A,FS_Perarolo,VODAFONE,Via Regina Margherita 33  PERAROLO DI CADORE (BL),12.357610656424098,46.39654405048498,529,Su edificio,15.85,
466,BL-5066A,Rifugio Ospitale,VODAFONE,Rifugio Ospitale  SS51 "Alemagna"  CORTINA D'AMPEZZO (BL),12.142969520460449,46.60427524699136,1485,Su edificio,16.25,
482,BL-5274A,PONTESEI,VODAFONE,Loc. Pontesei  FORNO DI ZOLDO (BL),12.231404002356847,46.33520108845772,825,Al Suolo,27,
487,BL-5278R,Palafavera,VODAFONE,Presso il rifugio Palafavera  in localita' Palafavera.  ZOLDO ALTO (BL),12.101180655947239,46.40367677839074,1525,Su edificio,11.8,
504,BL-5418B,Federa Vecchia,VODAFONE,Monte Rusiana  AURONZO DI CADORE (BL),12.368434916965159,46.55765618702338,1830,Al Suolo,29,
505,BL-5424B,Livinallongo,VODAFONE,Via Pieve 41  LIVINALLONGO DEL COL DI LANA (BL),11.955165031055182,46.482591119072794,1476.15,Su edificio,14,
507,BL-5427A,Monte Croce Comelico,VODAFONE,Sul Passo Monte Croce Comelico presso "Hotel Passo Monte Croce"  Dependance Christina  COMELICO SUPERIORE (BL),12.42064563078639,46.65639498581403,1638,Su edificio,14.15,
508,BL-5428A,Val d'Ansiei,VODAFONE,Via Val d'Ansiei  78 c/o Hotel Cristallo  AURONZO DI CADORE (BL),12.24957782773329,46.54814709146405,1370.5,Su edificio,13.2,
527,BL69_b,PASSO TRE CROCI,TELECOM,Impianto di risalita PIAN DE RA BIGONTINA  stazione di monte  CORTINA D'AMPEZZO (BL),12.183875303989907,46.537774483621135,2058,Al Suolo,18.6,
531,BL78,BL ANTOLE,TELECOM,collina lungo SS203 Agordina loc. TREVISOI  BELLUNO (BL),12.157849561965495,46.1446917509143,475,Al Suolo,19.15,
533,BL79_b,BL S.GERVASIO,TELECOM,v. F.lli Rosselli 104 c/o Elco  BELLUNO (BL),12.199081239061792,46.14359799337,441,Su edificio,16.65,
536,BL82,CASONI,TELECOM,SS251 loc. Ospitale di Cadore - fg47 part.19  FORNO DI ZOLDO (BL),12.232362863577604,46.31951312114807,664,Al Suolo,18.65,
543,BL89,OSPITALE D'AMPEZZO,TELECOM,Strada Statale Alemagna  51.  CORTINA D'AMPEZZO (BL),12.142969520460449,46.60427524699136,1485,Su edificio,15.43,
545,BL92,MAS/SOSPIROLO,TELECOM,Collina c/o Chiesetta di S.Antonio  SEDICO (BL),12.130753861350154,46.15804777486276,437.5,Al Suolo,19.05,
546,BLT7005,GALLERIA DELLE ANIME,TELECOM,SS346 Km tra Cencenighe Agordino e Vallada Agordina  CENCENIGHE AGORDINO (BL),11.96024777906176,46.359623950633896,800,Altro,8.6,
547,BLT7006,GALLERIA OSPITALE MACCHIETTO,TELECOM,Variante SS51 Alemagna  OSPITALE DI CADORE (BL),12.325500996864479,46.32864776792381,483,Altro,9.8,
550,BU05,MONTE RUSIANA,TELECOM,Monte Rusiana  AURONZO DI CADORE (BL),12.368434916965159,46.55765618702338,1830,Al Suolo,29.3,
554,BU08_b,SEREN DEL GRAPPA,TELECOM,loc. Pia c/o campo sportivo comunale  SEREN DEL GRAPPA (BL),11.849272491171217,45.997088075597716,326,Al Suolo,30.8,
559,PD107 Var1,CASALSERUGO,WIND,VIA L. DA VINCI  CASALSERUGO (PD),11.915910727392317,45.30946417670414,4.7,Al Suolo,26,
561,PD10T,ESTE,TELECOM,VIA VALLESINA N�3A c/o C.le Telecom Italia - 35042 ESTE (PD)  ESTE (PD),11.657309359838893,45.22723072638034,14.5,Al Suolo,29.05,
585,BU13,GALLERIA DEI CASTEI,TELECOM,SS203 km 19+650  Galleria Dei Castei tra Agordo e loc. La Muda  LA VALLE AGORDINA (BL),12.086233192897648,46.24909431435618,487,Altro,9.5,
587,BU19,BL V.G.ZAIS,TELECOM,Viale Europa  50  BELLUNO (BL),12.199232345313366,46.1368252556951,389.3,Altro,32.25,
589,fm-01,Radio Italia Uno,Radio Italia Uno,V.le della Navigazione Interna  PADOVA (PD),11.921844318041849,45.41011110349965,10,Altro,77,
591,fm-03,Radio Madonna Pellegrina,Parrocchia Madonna Pellegrina,Via Fabrici Girolamo D'Acquapendente  PADOVA (PD),11.880347519993986,45.389994709632866,10.8,Su edificio,30,
